"","focal.species","plot","treatment","subplot","mature","immature","total.fecundity","Daucus glochidiatus","Hyalosperma glutinosum","Plantago debilis","Podolepis canescens","Trachymene cyanopetala","Velleia rosea","Medicago minima","Pentameris airoides","intra","other"
"1","Arctotheca calendula",1,"E",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Arctotheca calendula",1,"C",2,0,0,0,0,0,0,0,0,0,0,1,0,14
"3","Arctotheca calendula",3,"C",2,0,0,0,0,0,0,0,0,0,0,6,7,2
"4","Arctotheca calendula",7,"E",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Arctotheca calendula",7,"C",1,0,0,0,0,0,11,3,6,2,0,0,4,64
"6","Arctotheca calendula",8,"C",1,0,0,0,0,0,0,2,0,7,0,0,3,1
"7","Arctotheca calendula",10,"E",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Arctotheca calendula",10,"C",1,0,0,0,0,0,0,1,0,7,0,1,1,20
"9","Arctotheca calendula",12,"C",1,0,0,0,0,0,0,0,0,0,0,0,2,18
"10","Arctotheca calendula",13,"E",2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Arctotheca calendula",13,"E",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Arctotheca calendula",13,"C",1,0,0,0,0,0,1,2,0,0,0,0,3,83
"13","Arctotheca calendula",13,"C",2,0,0,0,0,0,0,1,0,0,0,1,1,38
"14","Arctotheca calendula",13,"C",3,0,0,0,0,0,0,0,0,0,0,0,1,28
"15","Arctotheca calendula",10,"E",1,1,0,1,0,0,0,0,0,0,0,0,0,0
"16","Arctotheca calendula",9,"C",1,1,1,2,0,0,0,1,0,12,0,1,0,38
"17","Arctotheca calendula",10,"E",3,3,3,6,0,0,0,0,0,0,0,0,0,0
"18","Arctotheca calendula",9,"C",3,4,0,4,0,0,0,0,0,0,0,0,0,22
"19","Arctotheca calendula",16,"E",1,4,3,7,0,0,0,0,0,0,0,0,0,0
"20","Arctotheca calendula",3,"C",1,6,0,6,0,0,0,0,0,1,0,4,4,18
"21","Arctotheca calendula",10,"C",3,6,0,6,0,0,0,1,0,14,0,0,1,16
"22","Arctotheca calendula",10,"C",2,7,2,9,0,0,0,0,2,0,0,1,2,19
"23","Arctotheca calendula",9,"E",1,7,4,11,0,0,0,0,0,0,0,0,0,0
"24","Arctotheca calendula",12,"E",1,11,0,11,0,0,0,0,0,0,0,0,0,0
"25","Arctotheca calendula",5,"C",1,13,2,15,0,0,0,0,0,3,0,0,6,30
"26","Arctotheca calendula",4,"E",1,14,0,14,0,0,0,0,0,0,0,0,0,0
"27","Arctotheca calendula",9,"E",2,15,2,17,0,0,0,0,0,0,0,0,0,0
"28","Arctotheca calendula",2,"E",3,17,0,17,0,0,0,0,0,0,0,0,0,0
"29","Arctotheca calendula",12,"E",2,17,0,17,0,0,0,0,0,0,0,0,0,0
"30","Arctotheca calendula",4,"C",1,18,3,21,0,0,3,0,0,8,0,0,7,13
"31","Arctotheca calendula",4,"C",3,19,1,20,0,0,0,0,0,13,0,0,14,6
"32","Arctotheca calendula",6,"E",1,20,1,21,0,0,0,0,0,0,0,0,0,0
"33","Arctotheca calendula",9,"E",3,20,5,25,0,0,0,0,0,0,0,0,0,0
"34","Arctotheca calendula",9,"C",2,22,2,24,0,0,0,0,0,2,0,1,0,28
"35","Arctotheca calendula",7,"C",2,23,7,30,0,1,0,0,1,0,0,0,6,34
"36","Arctotheca calendula",8,"E",3,23,7,30,0,0,0,0,0,0,0,0,0,0
"37","Arctotheca calendula",7,"E",1,23,13,36,0,0,0,0,0,0,0,0,0,0
"38","Arctotheca calendula",8,"C",2,25,8,33,0,0,0,7,0,4,0,1,2,8
"39","Arctotheca calendula",3,"E",1,29,0,29,0,0,0,0,0,0,0,0,0,0
"40","Arctotheca calendula",8,"C",3,32,3,35,0,0,0,2,0,1,0,7,2,9
"41","Arctotheca calendula",4,"C",2,32,5,37,0,0,0,0,0,8,0,0,14,10
"42","Arctotheca calendula",5,"C",2,37,0,37,0,0,0,0,0,6,0,0,3,19
"43","Arctotheca calendula",12,"E",3,39,0,39,0,0,0,0,0,0,0,0,0,0
"44","Arctotheca calendula",15,"E",2,45,10,55,0,0,0,0,0,0,0,0,0,0
"45","Arctotheca calendula",16,"C",1,49,7,56,0,0,0,0,0,1,0,0,0,5
"46","Arctotheca calendula",4,"E",2,49,15,64,0,0,0,0,0,0,0,0,0,0
"47","Arctotheca calendula",13,"E",1,54,2,56,0,0,0,0,0,0,0,0,0,0
"48","Arctotheca calendula",16,"C",2,59,23,82,0,0,1,0,1,0,0,0,0,14
"49","Arctotheca calendula",2,"C",3,65,5,70,0,0,0,0,0,2,0,0,0,7
"50","Arctotheca calendula",1,"C",1,66,21,87,1,1,3,0,1,1,0,13,1,20
"51","Arctotheca calendula",6,"C",2,68,3,71,0,0,0,0,0,0,0,0,0,0
"52","Arctotheca calendula",4,"E",3,68,15,83,0,0,0,0,0,0,0,0,0,0
"53","Arctotheca calendula",2,"C",2,70,0,70,0,0,0,0,0,0,0,0,0,13
"54","Arctotheca calendula",5,"E",1,77,0,77,0,0,0,0,0,0,0,0,0,0
"55","Arctotheca calendula",2,"C",1,80,13,93,0,0,0,0,0,0,0,0,0,7
"56","Arctotheca calendula",12,"C",2,81,3,84,0,0,0,0,0,0,0,0,4,24
"57","Arctotheca calendula",5,"E",3,81,16,97,0,0,0,0,0,0,0,0,0,0
"58","Arctotheca calendula",16,"C",3,82,4,86,0,0,0,0,0,0,0,0,0,0
"59","Arctotheca calendula",3,"E",3,83,27,110,0,0,0,0,0,0,0,0,0,0
"60","Arctotheca calendula",15,"C",3,90,0,90,0,0,0,0,0,0,0,0,2,7
"61","Arctotheca calendula",8,"E",2,92,1,93,0,0,0,0,0,0,0,0,0,0
"62","Arctotheca calendula",11,"C",1,92,2,94,0,0,0,0,0,0,0,0,1,5
"63","Arctotheca calendula",15,"E",1,100,14,114,0,0,0,0,0,0,0,0,0,0
"64","Arctotheca calendula",3,"C",3,104,0,104,0,0,0,0,0,0,0,2,4,9
"65","Arctotheca calendula",11,"E",2,107,6,113,0,0,0,0,0,0,0,0,0,0
"66","Arctotheca calendula",6,"C",3,118,8,126,0,0,0,0,0,2,0,0,2,6
"67","Arctotheca calendula",16,"E",2,121,9,130,0,0,0,0,0,0,0,0,0,0
"68","Arctotheca calendula",6,"E",3,163,2,165,0,0,0,0,0,0,0,0,0,0
"69","Arctotheca calendula",15,"E",3,163,22,185,0,0,0,0,0,0,0,0,0,0
"70","Arctotheca calendula",8,"E",1,179,21,200,0,0,0,0,0,0,0,0,0,0
"71","Arctotheca calendula",2,"E",1,179,35,214,0,0,0,0,0,0,0,0,0,0
"72","Arctotheca calendula",5,"E",2,183,2,185,0,0,0,0,0,0,0,0,0,0
"73","Arctotheca calendula",12,"C",3,186,17,203,0,0,0,0,0,0,0,0,4,23
"74","Arctotheca calendula",15,"C",2,197,0,197,0,0,0,0,0,0,0,0,0,6
"75","Arctotheca calendula",16,"E",3,221,5,226,0,0,0,0,0,0,0,0,0,0
"76","Arctotheca calendula",11,"C",3,223,9,232,0,0,0,0,0,0,0,0,2,5
"77","Arctotheca calendula",14,"C",1,232,4,236,0,0,0,0,0,0,0,0,0,7
"78","Arctotheca calendula",15,"C",1,258,10,268,0,0,0,0,0,0,0,0,0,6
"79","Arctotheca calendula",5,"C",3,278,23,301,0,0,0,0,0,0,0,6,2,13
"80","Arctotheca calendula",11,"E",1,279,4,283,0,0,0,0,0,0,0,0,0,0
"81","Arctotheca calendula",11,"E",3,316,2,318,0,0,0,0,0,0,0,0,0,0
"82","Arctotheca calendula",6,"E",2,389,41,430,0,0,0,0,0,0,0,0,0,0
"83","Arctotheca calendula",11,"C",2,420,20,440,0,0,0,0,0,0,0,0,1,7
"84","Arctotheca calendula",3,"E",2,492,51,543,0,0,0,0,0,0,0,0,0,0
"85","Arctotheca calendula",14,"E",2,599,13,612,0,0,0,0,0,0,0,0,0,0
"86","Arctotheca calendula",2,"E",2,838,56,894,0,0,0,0,0,0,0,0,0,0
"87","Arctotheca calendula",14,"E",1,840,24,864,0,0,0,0,0,0,0,0,0,0
"88","Arctotheca calendula",14,"C",2,849,6,855,0,0,0,0,0,0,0,0,0,9
