species.code,treatment,open_shade,block,soil_p,date.collected,date.processed,date.gc,expected,present,spent.1,dead.1,well,notes.1,date.germ.remove.1,germ.1,germ.2,dead.2,spent.2,num.left,dead.3,num.stained,date.tz,viable,dead.4,spent.3,total.num.viable,total.num.dead,total,NOTES,G,S
ARCA,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,3,1,16,changed protocol on 10.11.2017,21/11/17,0,2,0,0,14,2,12,0,11,1,0,16,4,20,2 seeds went missing between germination and viability testing,0.15,0.65
CAHI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,4,16,0,7,9,0,7,13,20,,0,0.35
DAGL,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,16,16,0,0,16,,21/11/17,0,3,0,0,13,2,11,0,8,3,0,11,5,16,,0,0.6875
EROD,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,4,0,3,0,13,2,11,0,10,1,0,14,6,20,,0,0.7
GOBE,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,2,0,18,,21/11/17,0,0,0,0,18,8,10,0,4,6,0,6,14,20,,0.1,0.2
GOPU,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,5,15,0,6,9,0,6,14,20,,0,0.3
HAOD,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,1,0,19,,21/11/17,0,4,3,0,12,1,11,0,2,9,0,7,13,20,,0.05,0.3
HYGL,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,17,0,0,17,,21/11/17,0,1,9,0,7,3,4,0,3,1,0,4,13,17,,0,0.235294118
HYPO,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,18,0,0,18,,21/11/17,4,0,0,0,14,11,3,0,0,3,0,4,14,18,,0,0.222222222
MEDI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,2,0,18,,21/11/17,0,0,0,0,18,1,17,0,15,2,0,17,3,20,,0.1,0.75
PEAI,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,3,0,17,,21/11/17,0,6,0,0,11,3,8,0,7,0,1,17,3,20,s,0.2,0.65
PLDE,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,15,0,0,15,,21/11/17,0,9,0,0,6,0,6,0,4,2,0,13,2,15,,0,0.866666667
POCA,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,1,7,1,0,11,7,4,0,4,0,0,12,8,20,,0,0.6
POLE,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,17,3,0,14,,21/11/17,0,3,0,0,11,9,2,0,2,0,0,8,9,17,,0.176470588,0.294117647
PTGA,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,5,0,15,,21/11/17,0,4,0,0,11,0,11,0,10,1,0,19,1,20,,0.25,0.7
TRCY,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,0,20,0,6,14,0,6,14,20,,0,0.3
TROR,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,5,15,0,1,14,0,1,19,20,,0,0.05
VECY,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,9,11,0,7,4,0,7,13,20,,0,0.35
VERO,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,4,16,0,10,4,2,12,8,20,,0.1,0.5
WAAC,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,14,3,0,11,,21/11/17,0,0,0,0,11,2,9,0,3,6,0,6,8,14,,0.214285714,0.214285714
ARCA,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,1,0,19,,21/11/17,8,11,0,0,0,0,0,0,0,0,0,20,0,20,,0.05,0.95
CAHI,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,1,0,0,19,1,18,0,16,2,0,17,3,20,,0,0.85
DAGL,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,16,16,3,0,13,broke 1 seed,21/11/17,0,4,0,0,9,3,6,0,6,0,0,13,3,16,,0.1875,0.625
EROD,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,19,4,0,15,,21/11/17,1,2,0,0,12,0,12,0,11,1,0,18,1,19,,0.210526316,0.736842105
GOBE,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,1,0,19,,21/11/17,0,0,0,0,19,3,16,0,8,8,0,9,11,20,,0.05,0.4
GOPU,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,2,0,0,18,4,14,0,6,8,0,8,12,20,,0,0.4
HAOD,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,14,0,6,,21/11/17,2,0,0,0,4,1,3,0,0,3,0,16,4,20,,0.7,0.1
HYGL,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,21,5,0,16,,21/11/17,1,4,0,0,11,1,10,0,8,2,0,18,3,21,,0.238095238,0.619047619
HYPO,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,19,17,0,2,,21/11/17,0,1,0,0,1,0,1,0,0,1,0,18,1,19,,0.894736842,0.052631579
MEDI,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,1,0,19,,21/11/17,0,0,0,0,19,1,18,0,13,4,0,14,5,19,one seed was lost while staining,0.05,0.684210526
PEAI,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,16,0,4,,21/11/17,0,1,0,0,3,1,2,0,2,0,0,19,1,20,,0.8,0.15
PLDE,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,0,0,20,,21/11/17,6,12,0,0,2,0,2,0,2,0,0,20,0,20,,0,1
POCA,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,8,0,12,,21/11/17,3,7,0,0,2,0,2,0,2,0,0,20,0,20,,0.4,0.6
POLE,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,14,9,0,4,lost 1,21/11/17,0,3,0,0,1,0,1,0,0,1,0,12,1,13,one seed was lost while putting into well for germination,0.642857143,0.230769231
PTGA,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,3,0,17,,21/11/17,0,0,0,0,17,5,12,0,10,2,0,13,7,20,,0.15,0.5
TRCY,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,0,0,0,20,0,20,0,1,19,0,1,19,20,,0,0.05
TROR,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,6,0,0,6,hole,21/11/17,0,0,0,0,6,0,6,0,6,0,0,6,0,6,,0,1
VECY,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,19,1,0,18,,21/11/17,0,0,0,0,18,2,16,0,9,7,0,10,9,19,,0.052631579,0.473684211
VERO,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,1,0,0,19,0,19,0,10,9,0,11,9,20,,0,0.55
WAAC,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,20,18,0,2,,21/11/17,0,0,0,0,2,0,2,0,2,0,0,20,0,20,,0.9,0.1
ARCA,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,7,0,13,,21/11/17,2,3,1,0,7,2,5,0,0,5,0,12,8,20,,0.35,0.25
CAHI,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,4,0,0,4,,21/11/17,0,,0,0,4,1,3,0,1,2,0,1,3,4,,0,0.25
DAGL,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,16,16,9,0,7,,21/11/17,0,NA,0,0,7,1,6,0,3,3,0,12,4,16,,0.5625,#VALUE!
EROD,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,10,2,0,8,hole,21/11/17,0,,0,0,8,0,8,0,7,1,0,9,1,10,,0.2,0.7
GOBE,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,4,0,16,lots of mould,21/11/17,0,1,0,0,15,3,12,0,6,6,0,11,9,20,,0.2,0.35
GOPU,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,22,2,0,20,,21/11/17,0,,0,0,20,2,18,0,3,15,0,5,17,22,,0.090909091,0.136363636
HAOD,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,13,0,7,,21/11/17,0,,2,0,5,0,5,0,0,5,0,13,7,20,,0.65,0
HYGL,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,18,9,0,9,,21/11/17,1,,2,0,6,0,6,0,6,0,0,16,2,18,,0.5,0.388888889
HYPO,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,15,12,0,3,,21/11/17,1,,0,0,2,1,0,0,1,0,0,14,1,15,,0.8,0.133333333
MEDI,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,3,0,17,,21/11/17,0,1,0,0,16,1,15,0,14,1,0,18,2,20,,0.15,0.75
PEAI,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,19,2,0,17,,21/11/17,0,11,0,0,6,0,6,0,2,4,0,15,4,19,,0.105263158,0.684210526
PLDE,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,1,0,19,,21/11/17,4,6,0,0,9,0,9,0,9,0,0,20,0,20,,0.05,0.95
POCA,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,19,15,0,4,,21/11/17,1,2,0,0,1,0,1,0,1,0,0,19,0,19,,0.789473684,0.210526316
POLE,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,17,11,0,6,,21/11/17,0,5,0,0,1,0,1,0,0,1,0,16,1,17,,0.647058824,0.294117647
PTGA,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,3,0,17,,21/11/17,0,3,1,0,13,0,13,0,13,0,0,19,1,20,,0.15,0.8
TRCY,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,0,0,0,0,torn in half here,21/11/17,0,,0,0,0,0,0,0,0,0,0,0,0,0,,#DIV/0!,#DIV/0!
TROR,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,2,0,0,2,hole,21/11/17,0,,0,0,2,0,2,0,1,1,0,1,1,2,,0,0.5
VECY,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,1,0,19,,21/11/17,0,1,0,0,18,6,12,0,3,9,0,5,15,20,,0.05,0.2
VERO,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,20,0,0,20,,21/11/17,0,,0,0,20,6,14,0,5,9,0,5,15,20,,0,0.25
WAAC,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,18,18,0,18,all seeds put in well,21/11/17,0,,0,0,0,0,0,0,0,0,0,18,0,18,,1,0
ARCA,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,7,0,13,,25/11/17,9,3,0,0,1,0,1,0,1,0,0,20,0,20,,0.35,0.65
CAHI,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,21,1,0,20,,25/11/17,1,3,0,0,16,1,15,0,6,1,8,19,2,21,,0.428571429,0.476190476
DAGL,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,16,16,7,0,9,,25/11/17,0,4,0,0,5,0,5,0,2,3,0,13,3,16,,0.4375,0.375
EROD,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,18,4,0,14,,25/11/17,5,1,0,0,8,1,7,0,7,0,0,17,1,18,,0.222222222,0.722222222
GOBE,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,2,0,0,18,0,18,0,14,4,0,16,4,20,,0,0.8
GOPU,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,3,2,0,15,0,15,0,12,3,0,15,5,20,,0,0.75
HAOD,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,22,12,0,10,,25/11/17,0,3,0,0,7,1,6,0,0,6,0,15,7,22,,0.545454545,0.136363636
HYGL,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,1,0,19,maybe 6 dead,25/11/17,0,2,6,0,11,1,10,0,8,2,0,11,9,20,,0.05,0.5
HYPO,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,12,0,8,,25/11/17,0,0,2,5,1,0,1,0,0,1,0,17,3,20,,0.85,0
MEDI,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,3,0,17,,25/11/17,0,0,0,0,17,0,17,0,14,3,0,17,3,20,,0.15,0.7
PEAI,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,6,0,14,,25/11/17,0,9,2,2,1,0,1,0,1,0,0,18,2,20,,0.4,0.5
PLDE,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,2,0,18,,25/11/17,11,6,1,0,0,0,0,0,0,0,0,19,1,20,,0.1,0.85
POCA,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,9,0,11,"hole in bad, and maybe 2 dead",25/11/17,1,0,0,0,10,7,3,0,2,1,0,12,8,20,,0.45,0.15
POLE,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,18,0,0,18,,25/11/17,0,1,0,0,17,13,4,0,2,2,0,3,15,18,,0,0.166666667
PTGA,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,1,0,19,,25/11/17,0,2,1,0,16,2,14,0,14,0,0,17,3,20,,0.05,0.8
TRCY,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,0,0,20,0,20,0,7,13,0,7,13,20,,0,0.35
TROR,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,22,0,0,22,,25/11/17,0,0,1,0,21,5,16,0,8,8,0,8,14,22,,0,0.363636364
VECY,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,2,0,0,18,0,18,0,5,13,0,7,13,20,,0,0.35
VERO,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,1,1,0,0,18,0,18,0,11,7,0,13,7,20,,0,0.65
WAAC,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,14,4,2,1,1,0,1,0,0,5,15,20,,0.2,0.05
ARCA,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,5,0,15,,25/11/17,6,5,0,0,4,1,3,0,0,2,1,17,3,20,,0.3,0.55
CAHI,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,0,0,20,0,20,0,8,2,10,18,2,20,,0.5,0.4
DAGL,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,16,16,9,0,7,,25/11/17,0,4,0,0,3,0,3,0,1,2,0,14,2,16,,0.5625,0.3125
EROD,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,18,1,0,17,,25/11/17,2,0,0,0,15,2,13,0,13,0,0,16,2,18,,0.055555556,0.833333333
GOBE,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,1,0,19,0,19,0,13,2,4,17,3,20,,0.2,0.65
GOPU,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,2,1,0,17,1,16,0,11,4,1,14,6,20,,0.05,0.65
HAOD,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,2,0,18,,25/11/17,4,4,0,0,10,4,6,0,1,2,3,14,6,20,,0.25,0.45
HYGL,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,2,0,18,,25/11/17,0,1,4,0,13,2,11,0,11,0,0,14,6,20,,0.1,0.6
HYPO,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,2,0,18,,25/11/17,0,1,2,0,15,11,4,0,0,2,2,5,15,20,,0.2,0.05
MEDI,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,4,0,16,,25/11/17,0,0,0,0,16,0,16,0,13,3,0,17,3,20,,0.2,0.65
PEAI,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,21,2,0,19,,25/11/17,0,17,0,0,2,2,0,0,0,0,0,19,2,21,,0.095238095,0.80952381
PLDE,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,5,0,15,,25/11/17,5,6,0,0,4,0,4,0,4,0,0,20,0,20,,0.25,0.75
POCA,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,15,0,5,,25/11/17,3,2,0,0,0,0,0,0,0,0,0,20,0,20,,0.75,0.25
POLE,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,19,1,0,18,,25/11/17,2,5,4,0,7,5,2,0,1,0,1,10,9,19,,0.105263158,0.421052632
PTGA,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,19,0,0,19,,25/11/17,0,5,1,0,13,1,12,0,12,0,0,17,2,19,,0,0.894736842
TRCY,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,21,0,0,21,,25/11/17,0,0,0,0,21,1,20,0,7,7,6,13,8,21,,0.285714286,0.333333333
TROR,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,0,0,20,4,16,0,3,11,2,5,15,20,,0.1,0.15
VECY,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,21,0,0,21,,25/11/17,0,0,1,0,20,0,20,0,10,10,0,10,11,21,,0,0.476190476
VERO,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,0,0,20,,25/11/17,0,0,2,0,18,1,17,0,15,2,0,15,5,20,,0,0.75
WAAC,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,3,0,17,,25/11/17,0,0,6,0,11,9,2,0,1,0,1,5,15,20,,0.2,0.05
ARCA,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,0,0,20,"crushed one seed, included",5/12/17,10,2,0,0,8,0,8,0,5,3,0,17,3,20,,0,0.85
CAHI,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,0,0,20,,5/12/17,2,0,0,3,15,0,15,0,10,2,3,18,2,20,,0.3,0.6
DAGL,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,16,16,2,4,10,,5/12/17,0,2,0,0,8,1,7,0,4,3,0,8,8,16,,0.125,0.375
EROD,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,19,0,0,19,hole in bag,5/12/17,4,0,0,0,15,0,15,0,15,0,0,19,0,19,,0,1
GOBE,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,0,0,0,20,5,15,0,12,3,0,12,8,20,,0,0.6
GOPU,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,1,0,0,19,1,18,0,12,6,0,13,7,20,,0,0.65
HAOD,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,5,4,11,,5/12/17,2,2,0,0,7,2,5,0,1,4,0,10,10,20,,0.25,0.25
HYGL,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,19,2,0,17,,5/12/17,0,0,10,3,4,2,2,0,2,0,0,7,12,19,,0.263157895,0.105263158
HYPO,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,20,3,0,17,,5/12/17,1,1,2,6,7,0,7,0,7,0,0,18,2,20,,0.45,0.45
MEDI,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,19,0,0,19,,5/12/17,0,0,0,0,19,0,19,0,18,1,0,18,1,19,,0,0.947368421
PEAI,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,1,0,19,,5/12/17,1,8,4,1,5,1,4,0,1,1,2,14,6,20,,0.2,0.5
PLDE,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,0,0,20,,5/12/17,2,8,0,0,10,1,9,0,9,0,0,19,1,20,,0,0.95
POCA,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,16,0,0,16,,5/12/17,13,0,0,0,3,1,2,0,2,0,0,15,1,16,,0,0.9375
POLE,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,21,0,0,21,,5/12/17,9,3,5,0,4,2,2,0,2,0,0,14,7,21,,0,0.666666667
PTGA,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,1,0,19,,5/12/17,4,2,0,0,13,2,11,0,10,1,0,17,3,20,,0.05,0.8
TRCY,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,0,0,0,20,0,20,0,10,10,0,10,10,20,,0,0.5
TROR,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,0,0,0,20,4,16,0,12,4,0,12,8,20,,0,0.6
VECY,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,0,0,0,20,5,15,0,8,7,0,8,12,20,,0,0.4
VERO,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,20,0,0,20,plus one small plant,5/12/17,0,1,0,0,19,2,17,0,10,7,0,11,9,20,,0,0.55
WAAC,dry,o,2,10.4,12/10/17,16/11/17,24/11/17,20,15,0,0,15,hole in bag,5/12/17,0,0,11,2,2,1,1,0,1,0,0,3,12,15,,0.133333333,0.066666667
ARCA,dry,s,4,17.8,12/10/17,16/11/17,24/11/17,20,20,1,0,19,,5/12/17,7,6,1,0,5,1,4,0,4,0,0,18,2,20,,0.05,0.85
CAHI,dry,s,4,17.8,12/10/17,16/11/17,24/11/17,20,20,0,0,20,,5/12/17,0,0,0,2,18,2,16,0,10,3,3,15,5,20,,0.25,0.5
DAGL,dry,s,4,17.8,12/10/17,16/11/17,24/11/17,16,16,0,1,15,,5/12/17,0,2,0,0,13,0,13,0,4,9,0,6,10,16,,0,0.375
