species.code,well.code,seed.bag,treatment,open_shade,block,soil_p,date.collected,date.processed,date.gc,expected,present,spent.1,dead.1,well,notes.1,date.germ.remove.1,germ.1,germ.2,dead.2,spent.2,num.left,dead.3,num.stained,date.tz,viable,dead.4,spent.3,total.num.viable,total.num.dead,total,NOTES,G,S
HYGL,H8,27,dry,s,1,7.7,12/10/17,10/11/17,11/11/17,20,17,0,0,17,,21/11/17,0,1,9,0,7,3,4,0,3,1,0,4,13,17,,0,0.235294118
HYGL,H8,28,dry,s,2,4.2,12/10/17,7/11/17,11/11/17,20,21,5,0,16,,21/11/17,1,4,0,0,11,1,10,0,8,2,0,18,3,21,,0.25,0.857142857
HYGL,H8,29,dry,o,1,3.7,12/10/17,6/11/17,11/11/17,20,18,9,0,9,,21/11/17,1,,2,0,6,0,6,0,6,0,0,16,2,18,,0.45,0.888888889
HYGL,H8,13,dry,o,5,3.7,12/10/17,16/11/17,17/11/17,20,20,1,0,19,maybe 6 dead,25/11/17,0,2,6,0,11,1,10,0,8,2,0,11,9,20,,0.05,0.55
HYGL,H8,16,dry,o,4,7.1,12/10/17,15/11/17,17/11/17,20,20,2,0,18,,25/11/17,0,1,4,0,13,2,11,0,11,0,0,14,6,20,,0.1,0.7
HYGL,H8,19,dry,o,2,10.4,12/10/17,15/11/17,24/11/17,20,19,2,0,17,,5/12/17,0,0,10,3,4,2,2,0,2,0,0,7,12,19,,0.25,0.368421053
HYGL,H8,11,dry,s,4,17.8,12/10/17,16/11/17,24/11/17,20,20,3,4,3,,5/12/17,0,0,4,0,9,0,9,0,9,0,0,12,8,20,,0.15,0.6
HYGL,H8,9,dry,s,5,19.8,12/10/17,22/11/17,24/11/17,20,20,4,1,15,,5/12/17,0,0,0,1,14,8,6,0,6,0,0,11,9,20,,0.25,0.55
HYGL,H8,2,dry,o,3,17.5,12/10/17,8/12/17,13/2/18,20,20,0,0,20,,NA,0,1,6,2,11,0,11,0,0,11,0,3,17,20,,0.1,0.15
HYGL,H8,6,dry,s,3,18.4,12/10/17,22/11/17,13/2/18,20,19,3,0,16,,NA,0,3,2,0,11,5,6,0,6,0,0,12,7,19,,0.15,0.631578947
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175,0.553132586